folder;name;size
layers100m;lcv_land.cover_copernicus_c_100m_s0..0cm_2015_v3.0.1.tif;2.1GiB
layers100m;lcv_land.cover_copernicus_c_100m_s0..0cm_2016_v3.0.1.tif;2.2GiB
layers100m;lcv_land.cover_copernicus_c_100m_s0..0cm_2017_v3.0.1.tif;2.2GiB
layers100m;lcv_land.cover_copernicus_c_100m_s0..0cm_2018_v3.0.1.tif;2.2GiB
layers100m;lcv_land.cover_copernicus_c_100m_s0..0cm_2019_v3.0.1.tif;2.2GiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_0_v3.2.tif;309KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1000_v3.2.tif;366KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_100_v3.2.tif;316KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1100_v3.2.tif;387KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1200_v3.2.tif;402KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1300_v3.2.tif;405KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1400_v3.2.tif;399KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1500_v3.2.tif;408KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1600_v3.2.tif;443KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1700_v3.2.tif;475KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1710_v3.2.tif;486KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1720_v3.2.tif;497KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1730_v3.2.tif;506KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1740_v3.2.tif;514KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1750_v3.2.tif;524KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1760_v3.2.tif;532KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1770_v3.2.tif;540KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1780_v3.2.tif;549KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1790_v3.2.tif;558KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1800_v3.2.tif;569KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1810_v3.2.tif;589KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1820_v3.2.tif;602KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1830_v3.2.tif;619KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1840_v3.2.tif;638KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1850_v3.2.tif;653KiB
